
============================================================
GALAXY PARLAY - DATABASE POPULATION
============================================================

[1/3] Fetching historical fixtures (2023-2025)...
This will take 5-10 minutes...
2026-01-30 15:26:09 [info     ] Starting historical data population
2026-01-30 15:26:09 [info     ] Fetching fixtures              league=Premier League season=2025 status=FT
2026-01-30 15:26:10 [info     ] apifootball_request            cached=False endpoint=fixtures params={'league': 39, 'season': 2025, 'status': 'FT'} results=230
2026-01-30 15:26:11 [info     ] fixtures_upserted              count=230
2026-01-30 15:26:11 [info     ] Fixtures stored                count=230 league=Premier League season=2025
2026-01-30 15:26:11 [info     ] Fetching team stats            league=Premier League season=2025
2026-01-30 15:26:11 [info     ] apifootball_cache_hit          cache_age_seconds=0 endpoint=fixtures params={'league': 39, 'season': 2025, 'status': 'FT'}
2026-01-30 15:26:11 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 33, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:11 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:11 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 34, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:11 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:11 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 35, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:12 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:12 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 36, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:12 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:12 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 39, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:12 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:13 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 40, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:13 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:13 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 42, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:13 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:13 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 44, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:13 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:14 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 45, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:14 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:15 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 47, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:15 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:15 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 48, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:16 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:16 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 49, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:16 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:16 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 50, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:16 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:16 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 51, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:16 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:17 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 52, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:17 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:17 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 55, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:17 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:17 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 63, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:17 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:18 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 65, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:18 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:18 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 66, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:18 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:18 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 746, 'league': 39, 'season': 2025} results=11
2026-01-30 15:26:18 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:18 [info     ] Team stats stored              count=20 league=Premier League season=2025
2026-01-30 15:26:18 [info     ] Fetching fixtures              league=La Liga season=2025 status=FT
2026-01-30 15:26:19 [info     ] apifootball_request            cached=False endpoint=fixtures params={'league': 140, 'season': 2025, 'status': 'FT'} results=209
2026-01-30 15:26:19 [info     ] fixtures_upserted              count=209
2026-01-30 15:26:19 [info     ] Fixtures stored                count=209 league=La Liga season=2025
2026-01-30 15:26:19 [info     ] Fetching team stats            league=La Liga season=2025
2026-01-30 15:26:19 [info     ] apifootball_cache_hit          cache_age_seconds=0 endpoint=fixtures params={'league': 140, 'season': 2025, 'status': 'FT'}
2026-01-30 15:26:19 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 529, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:19 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:20 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 530, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:20 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:20 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 531, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:20 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:20 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 532, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:20 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:21 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 533, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:21 [info     ] team_statistics_upserted       count=1
2026-01-30 15:26:21 [info     ] apifootball_request            cached=False endpoint=teams/statistics params={'team': 536, 'league': 140, 'season': 2025} results=11
2026-01-30 15:26:21 [info     ] team_statistics_upserted       count=1
